Y,X,Name,Code,Rainfall Last 30 days,Rainfall Last 365 days
-31.537067,117.507433,Alverstone,1_3,17.6,70
-31.619527,117.614968,BF15,1_1,26.4,67.6
-31.645884,117.567236,Republic of Ireland,1_4,20.6,70.2
-31.623792,117.519857,RTK Base Station,1_2,19.6,79.4
-31.616669,117.54704,Creek,1_22,20,69.6
-31.635037,117.535429,Highway,1_21,21.6,57.6
-31.541213,117.587683,1_5,1_5,27.4,
-31.563709,117.537311,1_6,1_6,22.2,
-31.597545,117.478766,Observatory,1_7,23.2,
-31.657444,117.528506,1_8,1_8,22.4,
-31.641941,117.610527,1_9,1_9,21.4,
-31.604976,117.542013,KF003,1_11,22.8,
-31.53059,117.503906,BF113,1_12,18.8,
-31.532288,117.594937,T015,1_13,26.8,
-31.574118,117.609348,M001,1_14,20.4,
